"","wac$w_geocode","C000","CA01","CA02","CA03","CE01","CE02","CE03","CNS01","CNS02","CNS03","CNS04","CNS05","CNS06","CNS07","CNS08","CNS09","CNS10","CNS11","CNS12","CNS13","CNS14","CNS15","CNS16","CNS17","CNS18","CNS19","CNS20","CR01","CR02","CR03","CR04","CR05","CR07","CT01","CT02","CD01","CD02","CD03","CD04","CS01","CS02","CFA01","CFA02","CFA03","CFA04","CFA05","CFS01","CFS02","CFS03","CFS04","CFS05"
"1107","53061051925",9348,1597,5820,1931,679,1765,6904,0,0,0,148,1565,579,508,275,1440,1040,62,1883,500,399,96,234,41,327,31,220,7413,382,66,1233,27,227,8793,555,497,1399,2313,3542,5277,4071,0,0,0,0,0,0,0,0,0,0
"1108","53061051926",1773,357,1025,391,208,548,1017,0,0,0,142,315,102,491,10,0,13,0,84,0,498,15,44,0,5,54,0,1512,57,11,133,11,49,1553,220,177,390,461,388,1254,519,0,0,0,0,0,0,0,0,0,0
"1109","53061051927",222,40,133,49,56,71,95,0,0,0,66,5,36,0,0,1,0,0,18,0,15,0,37,0,11,33,0,187,6,3,26,0,0,206,16,17,54,54,57,128,94,0,0,0,0,0,0,0,0,0,0
"1110","53061051928",1980,336,1095,549,255,490,1235,1,0,0,80,841,80,343,0,2,28,64,21,0,22,15,85,0,143,12,243,1527,57,11,344,5,36,1872,108,155,389,564,536,1178,802,0,0,0,0,0,0,0,0,0,0
"1111","53061052003",361,93,208,60,129,138,94,0,0,0,16,17,42,9,4,1,5,38,48,0,20,0,90,0,51,20,0,303,9,2,40,0,7,345,16,30,69,95,74,175,186,0,0,0,0,0,0,0,0,0,0
"1112","53061052004",1003,278,518,207,260,415,328,0,0,0,41,0,27,265,10,1,2,5,5,0,6,205,273,0,141,22,0,846,57,3,72,2,23,930,73,63,173,215,274,392,611,0,0,0,0,0,0,0,0,0,0
"1113","53061052005",702,122,436,144,109,204,389,0,0,0,163,0,34,2,0,4,158,2,16,0,115,73,31,80,6,18,0,556,41,7,81,3,14,644,58,70,120,173,217,436,266,0,0,0,0,0,0,0,0,0,0
"1114","53061052006",237,47,116,74,65,68,104,0,2,0,37,2,18,3,0,0,15,0,18,0,38,65,24,0,7,8,0,205,6,2,22,0,2,229,8,15,33,58,84,104,133,0,0,0,0,0,0,0,0,0,0
"1115","53061052007",856,146,524,186,123,231,502,0,0,0,271,188,24,11,2,0,10,7,37,0,15,73,43,105,25,45,0,720,15,13,88,2,18,781,75,72,182,240,216,541,315,0,0,0,0,0,0,0,0,0,0
"1116","53061052104",576,124,304,148,73,175,328,41,0,0,166,250,1,20,29,0,0,0,16,0,4,0,13,34,0,2,0,535,12,7,10,0,12,527,49,55,157,146,94,459,117,0,0,0,0,0,0,0,0,0,0
"1117","53061052105",762,227,363,172,202,347,213,43,0,0,46,86,3,220,11,1,2,27,15,0,139,81,1,22,38,20,7,688,22,9,30,1,12,676,86,74,168,167,126,483,279,0,0,0,0,0,0,0,0,0,0
"1118","53061052107",747,195,408,144,188,286,273,15,0,0,226,9,6,200,5,5,5,13,28,0,131,16,26,0,37,25,0,645,26,11,41,4,20,655,92,83,148,182,139,469,278,0,0,0,0,0,0,0,0,0,0
"1119","53061052108",2032,490,1143,399,299,645,1088,142,0,14,737,161,95,58,28,1,13,22,50,0,365,0,26,1,116,80,123,1829,60,33,65,2,43,1753,279,223,439,499,381,1471,561,0,0,0,0,0,0,0,0,0,0
"1120","53061052112",196,51,90,55,58,76,62,5,0,0,40,2,9,11,0,12,0,0,8,0,25,0,17,54,0,13,0,182,1,2,8,1,2,185,11,15,33,54,43,135,61,0,0,0,0,0,0,0,0,0,0
"1121","53061052113",239,71,121,47,51,100,88,5,0,0,98,0,4,5,0,3,0,0,29,0,20,5,38,0,20,12,0,215,5,2,14,0,3,220,19,13,37,58,60,146,93,0,0,0,0,0,0,0,0,0,0
"1122","53061052114",369,78,201,90,81,129,159,4,0,0,78,3,13,10,0,5,0,7,28,0,65,82,41,0,3,30,0,323,9,3,24,2,8,329,40,27,90,89,85,190,179,0,0,0,0,0,0,0,0,0,0
"1123","53061052115",661,260,285,116,283,224,154,0,0,0,28,0,63,164,0,0,3,2,33,0,5,68,172,3,105,15,0,559,21,8,45,3,25,606,55,41,94,133,133,252,409,0,0,0,0,0,0,0,0,0,0
"1124","53061052118",436,146,226,64,143,139,154,18,0,0,86,0,19,16,0,32,13,6,44,0,6,10,68,13,64,41,0,386,12,4,23,2,9,401,35,41,59,94,96,250,186,0,0,0,0,0,0,0,0,0,0
"1125","53061052203",1965,702,914,349,702,849,414,0,0,4,52,55,71,881,18,40,68,3,55,0,20,16,112,104,389,77,0,1728,55,16,106,4,56,1800,165,136,391,428,308,946,1019,0,0,0,0,0,0,0,0,0,0
"1126","53061052204",2367,558,1333,476,368,858,1141,4,0,0,476,1111,153,205,13,0,1,26,55,0,12,49,119,11,100,32,0,2172,33,20,98,6,38,2153,214,239,515,613,442,1604,763,0,0,0,0,0,0,0,0,0,0
"1127","53061052206",190,32,118,40,50,58,82,3,0,0,62,1,5,12,3,1,2,8,8,0,50,8,12,1,3,11,0,175,2,0,4,1,8,164,26,19,46,61,32,123,67,0,0,0,0,0,0,0,0,0,0
"1128","53061052207",459,126,240,93,125,193,141,18,0,3,88,52,11,37,5,1,1,0,27,0,52,3,32,38,48,43,0,424,11,1,12,4,7,394,65,47,95,114,77,258,201,0,0,0,0,0,0,0,0,0,0
"1129","53061052208",1566,385,843,338,429,571,566,0,0,0,154,12,18,211,8,0,44,11,18,5,4,13,678,26,208,60,96,1404,28,11,80,0,43,1419,147,120,269,453,339,644,922,0,0,0,0,0,0,0,0,0,0
"1130","53061052209",2730,306,1668,756,336,690,1704,13,0,11,117,21,34,47,0,9,6,37,39,0,20,974,88,0,34,54,1226,2465,101,28,70,10,56,2602,128,153,593,867,811,1452,1278,0,0,0,0,0,0,0,0,0,0
"1131","53061052301",408,86,220,102,80,163,165,4,0,4,154,118,29,14,2,0,0,16,8,0,37,2,14,1,0,5,0,358,16,10,14,0,10,331,77,54,107,93,68,293,115,0,0,0,0,0,0,0,0,0,0
"1132","53061052302",452,113,250,89,105,187,160,34,0,0,141,13,3,55,5,0,0,18,105,0,58,0,7,7,1,5,0,420,8,4,14,0,6,413,39,61,86,104,88,281,171,0,0,0,0,0,0,0,0,0,0
"1133","53061052401",2761,492,1484,785,700,1031,1030,0,0,0,174,26,29,333,0,0,30,19,82,0,28,1270,438,7,154,38,133,2550,38,15,97,7,54,2638,123,167,544,794,764,946,1815,0,0,0,0,0,0,0,0,0,0
